CGATS.17																																											
																																											
ORIGINATOR	"i1Profiler - X-Rite, Inc."																																										
INSTRUMENTATION	i1Pro 2 ; Serial number 1075702																																										
DESCRIPTOR	artsiukh																																										
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"																																										
ILLUMINATION_NAME	D50																																										
OBSERVER_ANGLE	2																																										
FILTER	D50																																										
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"																																										
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"																																										
KEYWORD	DEVCALSTD																																										
DEVCALSTD	XRGA																																										
CREATED		2024-03-11T15:01:05																																									
																																											
NUMBER_OF_FIELDS	44																																										
BEGIN_DATA_FORMAT																																											
SAMPLE_ID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	XYY_X	XYY_Y	XYY_CAPY	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700
END_DATA_FORMAT													400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700
																																											
NUMBER_OF_SETS	5																																										
BEGIN_DATA																																											
1	A1	0.33576	0.18377	0.02515	0.61642	0.3374	0.18377	49.95	67.49	51.23	84.74	37.2	0.0192	0.0225	0.0242	0.024	0.0247	0.0268	0.0298	0.0294	0.0317	0.0439	0.0615	0.0666	0.0571	0.0494	0.0456	0.0391	0.0305	0.0279	0.0616	0.2151	0.4588	0.6491	0.7529	0.8042	0.8327	0.8498	0.8596	0.8617	0.8579	0.8548	0.8589
2	A2	0.3379	0.18555	0.02533	0.61573	0.33812	0.18555	50.16	67.33	51.46	84.74	37.39	0.0197	0.0225	0.0249	0.0238	0.0246	0.0269	0.0298	0.0295	0.0321	0.0449	0.0629	0.0683	0.0587	0.0507	0.0468	0.0402	0.0312	0.0286	0.063	0.2184	0.463	0.6532	0.7564	0.807	0.8355	0.8524	0.862	0.8638	0.8596	0.8571	0.8609
3	A3	0.33973	0.1872	0.02692	0.6134	0.338	0.1872	50.36	67.12	50.51	84	36.96	0.0205	0.0237	0.0261	0.0258	0.0265	0.0288	0.0317	0.0318	0.0343	0.0469	0.0648	0.07	0.0602	0.0523	0.0482	0.0414	0.0325	0.0297	0.0645	0.2201	0.4649	0.6555	0.7592	0.8097	0.838	0.8544	0.8639	0.8656	0.8616	0.859	0.863
4	A4	0.33603	0.18373	0.02506	0.61678	0.33723	0.18373	49.95	67.61	51.3	84.87	37.19	0.0204	0.0224	0.0247	0.0242	0.0244	0.0265	0.0296	0.0294	0.0317	0.0439	0.0614	0.0664	0.0569	0.0491	0.0452	0.0388	0.0303	0.0278	0.0613	0.2143	0.4583	0.6498	0.7545	0.8061	0.8346	0.8516	0.8613	0.8632	0.8593	0.8565	0.8605
5	A5	0.33825	0.1856	0.02545	0.61579	0.33788	0.1856	50.17	67.43	51.36	84.76	37.3	0.0197	0.0228	0.0247	0.0243	0.0247	0.027	0.03	0.0299	0.0323	0.0448	0.0626	0.068	0.0584	0.0507	0.0467	0.0401	0.0313	0.0287	0.0628	0.2174	0.4623	0.6539	0.7583	0.8092	0.8372	0.8539	0.8635	0.8653	0.8612	0.8589	0.8632
END_DATA																																											
	среднее	0.337534	0.18517	0.025582	0.615624	0.337726	0.18517	50.118	67.396	51.172	84.622	37.208	0.0199	0.02278	0.02492	0.02442	0.02498	0.0272	0.03018	0.03	0.03242	0.04488	0.06264	0.06786	0.05826	0.05044	0.0465	0.03992	0.03116	0.02854	0.06264	0.21706	0.46146	0.6523	0.75626	0.80724	0.8356	0.85242	0.86206	0.86392	0.85992	0.85726	0.8613
